Text,date,link,year
" Puis lors de discussion sur leurs ancêtres : j'ai deux arrières-grands-pères tués pendant la Grande Guerre, sachant que l'un deux est mort quatre jours après le début des hostilités",2008-11-11,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/11/11/comment-transmettez-vous-la-memoire-de-la-grande-guerre-a-vos-enfants_1117470_736535.html,2008
" - Mémoires de nos pères, grands-pères et arrières-grands-pères par Pierre Morel Arrière-petit-fils de zouave et de poilu gazé et amputé à Verdun, petit-fils de déporté au sto, fils de vétéran de la Guerre d'Algérie, futur beau-frère (je le souhaite à mon frère",2008-11-11,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/11/11/comment-transmettez-vous-la-memoire-de-la-grande-guerre-a-vos-enfants_1117470_736535.html,2008
" Dans la semaine, le milliardaire déchu réside toujours, avec femme, enfants et petits-enfants, dans son fameux hôtel particulier de la rue des Saints-Pères, à Paris",2005-04-06,https://www.lemonde.fr/a-la-une/article/2005/04/06/tapie-a-la-man-uvre_635913_3208.html,2005
"Il y a des bacheliers qui ont tâté de l'enseignement supérieur et des illettrés, des commerçants en pacotille et des peintres en bâtiment, des célibataires endurcis et des pères de famille nombreuse, des solitaires et des clandestins à l'esprit grégaire",2005-10-12,https://www.lemonde.fr/a-la-une/article/2005/10/12/les-clandestins-bourlingueurs_698511_3208.html,2005
"» C’est le langage de l’époque, celui d’un Charles Lavigerie, cardinal et fondateur des Pères blancs, d’un Ernest Renan pour qui l’islam est « la chaîne la plus lourde que l’humanité ait jamais portée »",2005-11-13,https://www.lemonde.fr/a-la-une/article/2005/11/13/charles-de-foucauld-un-marabout-au-sahara_709614_3208.html,2005
"Comme Norman Podhoretz, héraut de la gauche américaine et soutien de Martin Luther King, devenu un des pères du néoconservatisme",2006-04-21,https://www.lemonde.fr/a-la-une/article/2006/04/21/juifs-noirs-l-incomprehension-et-la-concurrence-des-memoires_764022_3208.html,2006
"On ne s'étonnera pas, comme le montrent certains de ses récits cliniques, qu'il ait mieux compris la rébellion des fils contre les pères que celle des filles contre leur famille",2006-05-03,https://www.lemonde.fr/a-la-une/article/2006/05/03/freud-le-penseur-des-lumieres-sombres_767763_3208.html,2006
"Rejetant les illusions de leurs pères, qui croyaient aux bienfaits du libéralisme, les fils de la bourgeoisie se tournèrent vers une nouvelle quête identitaire",2006-05-03,https://www.lemonde.fr/a-la-une/article/2006/05/03/freud-le-penseur-des-lumieres-sombres_767763_3208.html,2006
"Les deux petits frères sont à Saint-Eugène, le cimetière chrétien d’Alger, de même que le père, les deux grands-mères et les deux grands-pères de Robert",2006-05-15,https://www.lemonde.fr/a-la-une/article/2006/05/15/pieds-noirs-retour-a-alger_771844_3208.html,2006
Tu espères quoi,2006-05-15,https://www.lemonde.fr/a-la-une/article/2006/05/15/pieds-noirs-retour-a-alger_771844_3208.html,2006
" Plus grave, les hommes sont aussi stigmatisés pour leurs penchants agressifs ou criminels, leur bestialité : beaux-pères violeurs du Volver de Pedro Almodovar, mari violent du Bug de William Friedkin, frère cogneur de Bled Number One de Rabah Ameur-Zaïmèche ou infanticides dans Red Road d'Andrea Arnold et dans Le Labyrinthe de Pan de Guillermo del Toro",2006-05-30,https://www.lemonde.fr/a-la-une/article/2006/05/30/les-themes-de-cannes-terrorisme-et-machisme_777752_3208.html,2006
"Et maintenant, on traite nos pères de sous-hommes",2006-06-06,https://www.lemonde.fr/a-la-une/article/2006/06/06/l-amere-fatigue-des-harkis_780088_3208.html,2006
 L'homme dénonce le clientélisme et l'assistanat dans lequel les pères ont été maintenus,2006-06-06,https://www.lemonde.fr/a-la-une/article/2006/06/06/l-amere-fatigue-des-harkis_780088_3208.html,2006
"Avec son roman Les Blessures de l'Arménie, il est considéré comme l'un des pères de la littérature arménienne moderne",2006-08-02,https://www.lemonde.fr/a-la-une/article/2006/08/02/ararat-la-quete-de-l-arche_800399_3208.html,2006
"Un phénomène rare sur la planète des singes, où les pères, quand il s'agit de s'occuper des petits, ont plutôt tendance à prendre la tangente",2006-08-09,https://www.lemonde.fr/a-la-une/article/2006/08/09/portrait-de-groupe-avec-petits-singes_802339_3208.html,2006
"Une récente étude, menée chez des babouins de la savane sur lesquels avaient été effectués des tests génétiques de paternité, a ainsi montré que les pères, en cas de conflit, donnaient systématiquement la préférence à leur progéniture - preuve qu'ils la reconnaissent parfaitement",2006-08-09,https://www.lemonde.fr/a-la-une/article/2006/08/09/portrait-de-groupe-avec-petits-singes_802339_3208.html,2006
