Text,link,year,aspect,sentiment,prob
En substance dans un train une femme fait tomber son porte monnaie,https://www.lemonde.fr/11-septembre/article/2011/09/09/11-septembre-pourquoi-tant-de-rumeurs_1569862_1569588.html,2011.0,femme,Negative,0.9878222346305847
Le cas d Aurore Martin une militante basque de 32 ans sous le coup d un mandat d arrêt européen émis par l Espagne illustre cette ambiguité cette jeune femme est poursuivie en Espagne pour participation à une organisation terroriste en raison de sonappartenance à Batasuna une organisation politique interdite au delà des Pyrénées,https://www.lemonde.fr/11-septembre/article/2011/09/09/certaines-libertes-ont-aussi-disparu-le-11-septembre-2001_1568988_1569588.html,2011.0,femme,Negative,0.9972266554832458
Certaines anecdotes ont le mérite de faire sourire parfois comme l histoire d une femme qui a survécu grâce à ses chaussures neuves,https://www.lemonde.fr/11-septembre/article/2011/09/11/dix-ans-apres-les-attentats-la-presse-mondiale-se-souvient_1570674_1569588.html,2011.0,femme,Positive,0.39602041244506836
Bush président au moment des attentats et de sa femme Laura,https://www.lemonde.fr/11-septembre/article/2011/09/11/l-amerique-commemore-le-11-septembre_1570675_1569588.html,2011.0,femme,Neutral,0.4898742139339447
Après la fin des cours je suis rentré à mon domicile où se trouvait ma femme elle même enseignante d anglais et à cette période enceinte de notre premier enfant,https://www.lemonde.fr/11-septembre/article/2011/09/11/vous-nous-racontez-votre-11-septembre_1570080_1569588.html,2011.0,femme,Positive,0.9765446186065674
Outre les films livres BD ou pièces de théâtre des chansons de la pop ou du rock contemporain évoquent Le Chemin des Dames titre récent de Soldat Louis la mort dans les tranchées Sanseverino Le Dormeur du val vivant les mutineries Prisca Soldats de plomb ou La femme du soldat inconnu les Femmouzes T,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/10/23/la-memoire-en-chantiers_1107318_736535.html,2008.0,femme,Neutral,0.729821503162384
Nos ancêtres dès le XIIIème siècle ont élaboré un droit de la personne humaine respectueux de la dignité de la vie de la femme de l enfant de l esclave de l étranger et ont imaginé des règles harmonieuses de vie en jetant les bases d un commun vouloir de vie commune aux termes d un débat profond et d un consensus librement partagé,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/10/23/pour-le-president-du-senegal-l-africain-est-bien-installe-dans-l-histoire_1107562_736535.html,2008.0,femme,Positive,0.9809422492980957
Mariette sa femme conservait précieusement dans un portefeuille une carte postale en couleurs de Turin qu elle me faisait lire,https://www.lemonde.fr/1914-1918-90-ans-apres-l-armistice/article/2008/11/11/comment-transmettez-vous-la-memoire-de-la-grande-guerre-a-vos-enfants_1117470_736535.html,2008.0,femme,Neutral,0.5184264183044434
Même le sondage BVA selon lequel 87 des hommes en France accepteraient qu une femme devienne président de la République ne lui inspirait que des platitudes,https://www.lemonde.fr/a-la-une/article/2005/03/09/television-une-question-rafraichissante_400975_3208.html,2005.0,femme,Negative,0.9457840323448181
Ainsi le cas de cet homme qui a tué sa femme à coups de hache en décembre 1941 pour la manger,https://www.lemonde.fr/a-la-une/article/2005/03/10/television-huit-cent-mille-fantomes_401146_3208.html,2005.0,femme,Negative,0.9938467144966125
On prête à Aristide Maillol cette anecdote sollicité pour réaliser un monument allégorique il aurait répondu que ce serait une femme nue car rien ne faisait une meilleure sculpture,https://www.lemonde.fr/a-la-une/article/2005/03/12/les-dessins-caches-de-gustav-klimt-adorateur-du-corps-feminin_401425_3208.html,2005.0,femme,Negative,0.9738117456436157
Il a son type une jeune femme d entre 20 et 25 ans plus jeune parfois,https://www.lemonde.fr/a-la-une/article/2005/03/12/les-dessins-caches-de-gustav-klimt-adorateur-du-corps-feminin_401425_3208.html,2005.0,femme,Neutral,0.4709712862968445
Il a toujours vigoureusement démenti avoir voulu solliciter les services de cette jeune femme comme il l expose longuement dans son livre où il s interroge sur une éventuelle machination à son encontre,https://www.lemonde.fr/a-la-une/article/2005/03/17/dominique-ambiel-tente-de-regler-ses-comptes-dans-son-livre_402027_3208.html,2005.0,femme,Negative,0.9607729911804199
Cette femme aurait elle le pas militaire dans le sang,https://www.lemonde.fr/a-la-une/article/2005/03/19/mam-objectif-matignon_629090_3208.html,2005.0,femme,Negative,0.877361536026001
Avez vous bien réfléchi à ce que pourrait être la réaction des armées à la nomination d une femme,https://www.lemonde.fr/a-la-une/article/2005/03/19/mam-objectif-matignon_629090_3208.html,2005.0,femme,Negative,0.6360424757003784
MAM la première femme,https://www.lemonde.fr/a-la-une/article/2005/03/19/mam-objectif-matignon_629090_3208.html,2005.0,femme,Positive,0.9837971329689026
